No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0203,STN0311,STN0421,ls_prob
5159808,Tree,1,30.17276382,15.948807292138817,0,18.8675759517525,99.3551680639859,324.2957723,7706.137574,9346.992765,0.0
5159809,Tree,1,30.97779274,15.942407169955324,0,18.8675758611612,99.3552155316318,328.3982204,7706.427516,9348.246731,0.0
5159812,Tree,1,30.39953423,15.927916413029418,0,18.8675756572863,99.3553223338341,337.717398,7707.091714,9351.077322,0.0
5159813,Tree,1,30.97779274,15.93437146566675,0,18.867575747905,99.3552748661888,333.5608064,7706.794493,9349.817715,0.0
5159816,Tree,1,29.65656471,15.913314703893434,0,18.8675754533502,99.355429136035,347.1512774,7707.772289,9353.920597,0.0
5159817,Tree,1,30.39953423,15.919816981217986,0,18.8675755439961,99.3553816683903,342.9448847,7707.46779,9352.655354,0.0
5159820,Tree,1,29.38070869,15.898618144137131,0,18.8675752493528,99.3555359382345,356.6907578,7708.469234,9356.776545,0.0
5159821,Tree,1,29.65656471,15.905160693884296,0,18.8675753400259,99.3554884705904,352.4384983,7708.15746,9355.505671,0.0
5159823,Tree,1,29.38070869,15.8918135151383,0,18.8675751552667,99.355585185915,361.1227824,7708.796117,9358.097721,0.0
5159825,Tree,1,25.17851639,15.87725145992386,0,18.8675749545817,99.3556902080759,370.6398909,7709.504826,9360.924153,0.0
5159827,Tree,1,29.38070869,15.883841264827776,0,18.8675750452941,99.3556427404327,366.3275893,7709.182546,9359.645154,0.0
5162723,Grass,1,29.77770615,16.029632045999048,0,18.8674752932214,99.3546356192112,272.937494,7714.348263,9322.193229,0.0
5162726,Tree,1,29.77770615,16.022146961244946,0,18.867475183543,99.3546931737008,277.6106734,7714.65577,9323.68155,0.0
5162727,Tree,1,29.98759079,16.015922848699002,0,18.8674750930732,99.3547406413207,281.5047891,7714.912962,9324.91182,0.0
5162728,Tree,1,28.26190567,16.0033558878013,0,18.8675201681719,99.354800070901,289.5117503,7710.244002,9331.300419,0.0
5162729,Tree,1,28.30319595,15.99711771512614,0,18.8675200776746,99.3548475385332,293.4397726,7710.508642,9332.535717,0.0
5162730,Tree,1,29.98759079,16.008082384353067,0,18.867474979969,99.3547999758453,286.4208281,7715.239001,9326.453203,0.0
5162731,Tree,1,31.33176994,16.0017648406197,0,18.867474889472,99.3548474434647,290.3906633,7715.503469,9327.689143,0.0
5162732,Tree,1,28.30319595,15.989265398722482,0,18.867519964536,99.3549068730729,298.3949977,7710.843993,9334.083379,0.0
5162733,Tree,1,29.45010567,15.982942636421546,0,18.8675198740115,99.3549543407044,302.3937951,7711.115913,9335.324339,0.0
5162734,Tree,1,31.33176994,15.993815358561706,0,18.8674747763337,99.3549067779886,295.3970411,7715.838603,9329.237609,0.0
5162735,Tree,1,32.58109283,15.987416489037692,0,18.8674746858094,99.3549542456073,299.4358773,7716.110347,9330.479213,0.0
5162736,Tree,1,29.45010567,15.974991585252836,0,18.8675197608389,99.3550136752434,307.4335937,7711.460362,9336.879075,0.0
5162737,Tree,1,30.17276382,15.968595158347522,0,18.8675196702872,99.3550611428742,311.4970841,7711.73956,9338.125692,0.0
5162738,Tree,1,32.58109283,15.97937231335375,0,18.8674745726371,99.3550135801304,304.5246325,7716.454573,9332.034757,0.0
5162739,Tree,1,32.65096664,15.972902974349113,0,18.8674744820856,99.3550610477486,308.6264257,7716.73359,9333.28202,0.0
5162740,Tree,1,30.17276382,15.961927683913052,0,18.8675195763269,99.355110390541,315.7414346,7712.032646,9339.421712,0.0
5162741,Tree,1,32.65096664,15.966161324132685,0,18.8674743881256,99.3551102954021,312.9097167,7717.026486,9334.578713,0.0
5162742,Tree,1,30.17276382,15.954098057386132,0,18.8675194665015,99.3551679450427,320.7369299,7712.379579,9340.939764,0.0
5162743,Tree,1,30.97779274,15.947612307592856,0,18.8675193759104,99.3552154126727,324.8843201,7712.669286,9342.194543,0.0
5162744,Tree,1,32.60017776,15.951692665990963,0,18.8674741877096,99.3552153175057,322.132983,7717.662715,9337.352982,0.0
5162745,Tree,1,32.65096664,15.95824687907351,0,18.8674742783004,99.3551678498884,317.9497059,7717.373195,9336.097553,0.0
5162746,Tree,1,30.39953423,15.932934687603144,0,18.8675191720363,99.3553222148392,334.3014675,7713.332947,9345.026967,0.0
5162747,Tree,1,30.97779274,15.939471810832243,0,18.8675192626546,99.3552747472098,330.1018658,7713.035967,9343.766544,0.0
5162748,Tree,1,32.05064392,15.936865807246944,0,18.8674739838359,99.3553221196436,331.6282685,7718.325947,9340.186875,0.0
5162749,Tree,1,32.60017776,15.943468448459504,0,18.867474074454,99.355274652027,327.3943786,7718.029158,9338.925799,0.0
5162750,Tree,1,29.65656471,15.918153908546136,0,18.8675189681008,99.3554290170044,343.829085,7714.012971,9347.872083,0.0
5162751,Tree,1,30.39953423,15.92473482965648,0,18.8675190587464,99.3553815493756,339.5815428,7713.708718,9346.606021,0.0
5162752,Tree,1,31.49575806,15.921942221677291,0,18.867473779901,99.3554289217802,341.2305336,7719.00553,9343.033465,0.0
5162753,Tree,1,32.05064392,15.928585835802933,0,18.8674738705463,99.3553814541641,336.950236,7718.701475,9341.766747,0.0
5162754,Tree,1,29.38070869,15.903285765878048,0,18.867518764104,99.3555358191681,353.4582394,7714.709352,9350.729878,0.0
5162755,Tree,1,29.65656471,15.909903670505352,0,18.8675188547768,99.3554883515399,349.1666155,7714.39783,9349.458182,0.0
5162756,Tree,1,29.98759079,15.906937427742175,0,18.8674735759048,99.3555357239153,350.9309966,7719.701461,9345.89274,0.0
5162757,Tree,1,31.49575806,15.913615324446008,0,18.8674736665773,99.3554882562998,346.6080823,7719.390141,9344.620385,0.0
5162758,Tree,1,29.38070869,15.89640445273449,0,18.8675186700182,99.355585066832,357.9302925,7715.035971,9352.051908,0.0
